,IDENTITAS,UMUR,JENIS_KELAMIN,PENGALAMAN_MENGEMUDI,PENDIDIKAN,PENGHASILAN,SKOR_KREDIT,PEMILIK_KENDARAAN,TAHUN_PRODUKSI,STATUS,ANAK,KODE_POS,KM_PER_TAHUN,JENIS_KENDARAAN,TILANG_NGEBUT,TILANG_MABUK,KECELAKAAN_SEBELUMNYA,KLAIM
0,569520,lebih dari 65 tahun,perempuan,kurang dari 10 tahun,SMA,lebih dari 3x UMR,0.629027313918201,ya,setelah 2020,belum menikah,ada,10238,12000.0,keluarga,0,0,0,tidak
1,750365,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,0.3577571170184627,tidak,sebelum 2020,belum menikah,tidak ada,10238,16000.0,keluarga,0,0,0,ya
2,199901,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.4931457852181982,ya,sebelum 2020,belum menikah,tidak ada,10238,11000.0,keluarga,0,0,0,tidak
3,478866,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.2060128507324556,ya,sebelum 2020,belum menikah,ada,32765,11000.0,keluarga,0,0,0,tidak
4,731664,antara 25-40 tahun,laki-laki,antara 10-20 tahun,tidak ada,antara 1-2x UMR,0.3883658881572184,ya,sebelum 2020,belum menikah,tidak ada,32765,12000.0,keluarga,2,0,1,ya
5,877557,antara 40-65 tahun,perempuan,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.6191273725847388,ya,setelah 2020,belum menikah,ada,10238,13000.0,keluarga,3,0,3,tidak
6,930134,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.4929435502195342,tidak,setelah 2020,menikah,ada,10238,13000.0,keluarga,7,0,3,tidak
7,461006,antara 25-40 tahun,perempuan,kurang dari 10 tahun,universitas,antara 1-2x UMR,0.468689297434465,tidak,setelah 2020,belum menikah,ada,10238,14000.0,keluarga,0,0,0,ya
8,68366,antara 40-65 tahun,perempuan,antara 20-30 tahun,universitas,antara 1-2x UMR,0.5218149362971065,tidak,sebelum 2020,menikah,tidak ada,10238,13000.0,keluarga,0,0,0,tidak
9,445911,antara 40-65 tahun,perempuan,kurang dari 10 tahun,SMA,lebih dari 3x UMR,0.5615310319383646,ya,sebelum 2020,belum menikah,ada,32765,11000.0,keluarga,0,0,0,ya
10,275820,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.6203612640126029,ya,setelah 2020,menikah,ada,10238,10000.0,keluarga,6,2,7,tidak
11,521399,lebih dari 65 tahun,perempuan,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.7298308815593941,ya,setelah 2020,menikah,tidak ada,32765,12000.0,keluarga,4,0,0,tidak
12,429728,antara 40-65 tahun,laki-laki,antara 20-30 tahun,SMA,lebih dari 3x UMR,0.6370447435902447,ya,sebelum 2020,menikah,ada,10238,8000.0,keluarga,4,1,2,tidak
13,569640,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.59125997174597,ya,sebelum 2020,belum menikah,ada,10238,,keluarga,0,0,0,tidak
14,980181,antara 25-40 tahun,laki-laki,antara 10-20 tahun,SMA,antara 2-3x UMR,0.4615679630439447,ya,sebelum 2020,menikah,ada,10238,12000.0,keluarga,0,2,1,tidak
15,906223,antara 25-40 tahun,perempuan,kurang dari 10 tahun,SMA,lebih dari 3x UMR,0.7627979410816134,tidak,setelah 2020,menikah,tidak ada,10238,,keluarga,0,0,0,tidak
16,517747,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,universitas,lebih dari 3x UMR,0.7961748462456987,ya,sebelum 2020,menikah,ada,32765,,keluarga,10,2,1,tidak
17,24851,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,,tidak,sebelum 2020,menikah,tidak ada,32765,12000.0,keluarga,0,0,0,ya
18,104086,antara 25-40 tahun,perempuan,kurang dari 10 tahun,universitas,lebih dari 3x UMR,0.6805942795073384,ya,sebelum 2020,belum menikah,ada,32765,,keluarga,0,0,0,ya
19,240658,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.4177139816231188,ya,sebelum 2020,belum menikah,ada,10238,18000.0,keluarga,0,0,0,ya
20,484399,kurang dari 25 tahun,perempuan,kurang dari 10 tahun,SMA,antara 1-2x UMR,0.4095135306516067,tidak,sebelum 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,0,ya
21,912828,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,SMA,antara 2-3x UMR,0.5532600531952381,ya,setelah 2020,menikah,ada,32765,8000.0,keluarga,0,0,0,ya
22,892754,antara 40-65 tahun,laki-laki,antara 20-30 tahun,tidak ada,kurang dari UMR,0.3309502618581893,ya,sebelum 2020,menikah,ada,10238,13000.0,keluarga,3,1,1,tidak
23,217,kurang dari 25 tahun,laki-laki,kurang dari 10 tahun,tidak ada,kurang dari UMR,,tidak,sebelum 2020,belum menikah,tidak ada,10238,17000.0,keluarga,0,0,0,tidak
24,633896,lebih dari 65 tahun,laki-laki,lebih dari 30 tahun,SMA,lebih dari 3x UMR,0.5006306604427161,ya,sebelum 2020,menikah,ada,32765,7000.0,keluarga,13,2,3,tidak
